ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
259,Reema Abdo,F,21,173,59,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,NA
259,Reema Abdo,F,21,173,59,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke,NA
259,Reema Abdo,F,21,173,59,Canada,CAN,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
1010,Jean-Luc Adorno,M,23,180,64,Monaco,MON,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,NA
1236,Andrey Alberto Aguilar Komissarov,M,23,178,72,Costa Rica,CRC,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,NA
1236,Andrey Alberto Aguilar Komissarov,M,23,178,72,Costa Rica,CRC,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Butterfly,NA
1236,Andrey Alberto Aguilar Komissarov,M,23,178,72,Costa Rica,CRC,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Individual Medley,NA
1304,Gurn Fema gstsdttir,F,17,166,56,Iceland,ISL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Breaststroke,NA
1304,Gurn Fema gstsdttir,F,17,166,56,Iceland,ISL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,NA
1802,Khaled Al-Assaf,M,20,179,68,Kuwait,KUW,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,NA
1915,Adel Al-Ghaith,M,NA,178,72,Kuwait,KUW,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Butterfly,NA
1926,Ahmad Al-Hahdoud,M,NA,NA,NA,Kuwait,KUW,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,NA
1926,Ahmad Al-Hahdoud,M,NA,NA,NA,Kuwait,KUW,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,NA
2415,Ricardo Aldabe Moreno,M,19,193,80,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,NA
2415,Ricardo Aldabe Moreno,M,19,193,80,Spain,ESP,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Backstroke,NA
3232,Alejandro Luis Alvizuri Mack,M,16,185,76,Peru,PER,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,NA
3232,Alejandro Luis Alvizuri Mack,M,16,185,76,Peru,PER,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Backstroke,NA
3498,Carole Amoric (-Andraca),F,23,168,56,France,FRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA
4028,Pierre Andraca,M,25,183,79,France,FRA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
4165,Theresa Andrews,F,21,167,62,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,Gold
4165,Theresa Andrews,F,21,167,62,United States,USA,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
4264,Ang Peng Siong,M,21,180,75,Singapore,SGP,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Freestyle,NA
4264,Ang Peng Siong,M,21,180,75,Singapore,SGP,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,NA
